timestamp,Infrared to Red Signal Ratio
06/13/20 00:00:27,-5
06/13/20 00:01:27,0
06/13/20 00:02:27,-1
06/13/20 00:03:28,3
06/13/20 00:04:28,36
06/13/20 00:05:28,-9
06/13/20 00:06:28,0
06/13/20 00:07:28,-3
06/13/20 00:08:28,-1
06/13/20 00:09:29,-2
06/13/20 00:10:29,4
06/13/20 00:11:29,-8
06/13/20 00:12:29,1
06/13/20 00:13:29,-1
06/13/20 00:14:29,0
06/13/20 00:15:29,-1
06/13/20 00:16:30,-12
06/13/20 00:17:30,0
06/13/20 00:18:30,0
06/13/20 00:19:30,4
06/13/20 00:20:30,2
06/13/20 00:21:30,-13
06/13/20 00:22:30,-3
06/13/20 00:23:31,-6
06/13/20 00:24:31,-5
06/13/20 00:25:31,-5
06/13/20 00:26:31,0
06/13/20 00:27:31,-1
06/13/20 00:28:31,0
06/13/20 00:29:32,0
06/13/20 00:30:32,0
06/13/20 00:31:32,16
06/13/20 00:32:32,0
06/13/20 00:33:32,-1
06/13/20 00:34:32,-3
06/13/20 00:35:32,-1
06/13/20 00:36:33,0
06/13/20 00:37:33,0
06/13/20 00:38:33,16
06/13/20 00:39:33,1
06/13/20 00:40:33,0
06/13/20 00:41:33,-1
06/13/20 00:42:33,0
06/13/20 00:43:37,1
06/13/20 00:44:37,2
06/13/20 00:45:37,-1
06/13/20 00:46:37,-1
06/13/20 00:47:37,27
06/13/20 00:48:37,-1
06/13/20 00:49:38,2
06/13/20 00:50:38,-2
06/13/20 00:51:38,1
06/13/20 00:52:38,-3
06/13/20 00:53:38,3
06/13/20 00:54:38,10
06/13/20 00:55:38,10
06/13/20 00:56:39,-2
06/13/20 00:57:39,-6
06/13/20 00:58:39,-1
06/13/20 00:59:39,2
06/13/20 01:00:39,-1
06/13/20 01:01:39,-7
06/13/20 01:02:39,-11
06/13/20 01:03:40,0
06/13/20 01:04:40,-3
06/13/20 01:05:40,0
06/13/20 01:06:40,11
06/13/20 01:07:40,44
06/13/20 01:08:40,-2
06/13/20 01:09:41,0
06/13/20 01:10:41,0
06/13/20 01:11:41,-1
06/13/20 01:12:41,-13
06/13/20 01:13:41,-3
06/13/20 01:14:41,0
06/13/20 01:15:41,-18
06/13/20 01:16:42,-1
06/13/20 01:17:42,3
06/13/20 01:18:42,1
06/13/20 01:19:42,0
06/13/20 01:20:42,0
06/13/20 01:21:42,0
06/13/20 01:22:42,7
06/13/20 01:23:43,-1
06/13/20 01:24:43,-2
06/13/20 01:25:43,0
06/13/20 01:26:43,-1
06/13/20 01:27:43,0
06/13/20 01:28:43,7
06/13/20 01:29:44,2
06/13/20 01:30:44,-1
06/13/20 01:31:44,0
06/13/20 01:32:44,0
06/13/20 01:33:44,0
06/13/20 01:34:44,-1
06/13/20 01:35:44,0
06/13/20 01:36:45,-1
06/13/20 01:37:45,0
06/13/20 01:38:45,-4
06/13/20 01:39:45,0
06/13/20 01:40:45,-1
06/13/20 01:41:45,-10
06/13/20 01:42:45,-1
06/13/20 01:43:46,0
06/13/20 01:44:46,-1
06/13/20 01:45:46,7
06/13/20 01:46:46,-1
06/13/20 01:47:46,-7
06/13/20 01:48:46,-2
06/13/20 01:49:47,1
06/13/20 01:50:47,7
06/13/20 01:51:47,8
06/13/20 01:52:47,-1
06/13/20 01:53:47,-1
06/13/20 01:54:47,0
06/13/20 01:55:47,-1
06/13/20 01:56:48,-1
06/13/20 01:57:48,-4
06/13/20 01:58:48,5
06/13/20 01:59:48,-1
06/13/20 02:00:48,6
06/13/20 02:01:48,9
06/13/20 02:02:48,1
06/13/20 02:03:49,9
06/13/20 02:04:49,0
06/13/20 02:05:49,-25
06/13/20 02:06:49,57
06/13/20 02:07:49,0
06/13/20 02:08:49,-8
06/13/20 02:09:50,0
06/13/20 02:10:50,0
06/13/20 02:11:50,22
06/13/20 02:12:50,7
06/13/20 02:13:50,5
06/13/20 02:14:50,-7
06/13/20 02:15:50,1
06/13/20 02:16:51,-14
06/13/20 02:17:51,-1
06/13/20 02:18:51,4
06/13/20 02:19:51,5
06/13/20 02:20:51,-1
06/13/20 02:21:51,0
06/13/20 02:22:51,-1
06/13/20 02:23:52,0
06/13/20 02:24:52,-3
06/13/20 02:25:52,22
06/13/20 02:26:52,-1
06/13/20 02:27:52,-4
06/13/20 02:28:52,-2
06/13/20 02:29:53,0
06/13/20 02:30:53,-1
06/13/20 02:31:53,-1
06/13/20 02:32:53,11
06/13/20 02:33:53,1
06/13/20 02:34:53,-1
06/13/20 02:35:53,0
06/13/20 02:36:54,1
06/13/20 02:37:54,0
06/13/20 02:38:54,-4
06/13/20 02:39:54,5
06/13/20 02:40:54,0
06/13/20 02:41:54,0
06/13/20 02:42:54,-2
06/13/20 02:43:55,3
06/13/20 02:44:55,-7
06/13/20 02:45:55,2
06/13/20 02:46:55,0
06/13/20 02:47:55,-1
06/13/20 02:48:55,1
06/13/20 02:49:56,9
06/13/20 02:50:56,-1
06/13/20 02:51:56,0
06/13/20 02:52:56,-2
06/13/20 02:53:56,0
06/13/20 02:54:56,16
06/13/20 02:55:56,-1
06/13/20 02:56:57,0
06/13/20 02:57:57,10
06/13/20 02:58:57,1
06/13/20 02:59:57,0
06/13/20 03:00:57,2
06/13/20 03:01:57,0
06/13/20 03:02:57,0
06/13/20 03:03:58,-2
06/13/20 03:04:58,0
06/13/20 03:05:58,8
06/13/20 03:06:58,1
06/13/20 03:07:58,-1
06/13/20 03:08:58,1
06/13/20 03:09:59,0
06/13/20 03:10:59,-1
06/13/20 03:11:59,4
06/13/20 03:12:59,2
06/13/20 03:13:59,-5
06/13/20 03:14:59,0
06/13/20 03:15:59,-28
06/13/20 03:17:00,-26
06/13/20 03:18:00,-6
06/13/20 03:19:00,-10
06/13/20 03:20:00,6
06/13/20 03:21:00,3
06/13/20 03:22:00,-1
