sleep_log_entry_id,timestamp,overall_score,composition_score,revitalization_score,duration_score,deep_sleep_in_minutes,resting_heart_rate,restlessness
28116314253,2020-07-21T08:47:30Z,84,18,22,44,117,63,0.08353609083536091
28064439930,2020-07-20T08:30:00Z,64,15,15,34,47,61,0.07591623036649214
28091190087,2020-07-19T10:11:00Z,80,17,22,41,60,62,0.06843718079673136
28064917478,2020-07-18T07:00:00Z,81,19,22,40,95,62,0.06524184476940383
28062362995,2020-07-17T07:00:00Z,77,16,23,38,45,64,0.06540084388185655
28054755255,2020-07-16T08:45:00Z,78,18,18,42,125,63,0.08365310821181889
28035615144,2020-07-15T08:54:30Z,83,16,22,45,83,64,0.07648494711147275
28020048152,2020-07-14T08:36:00Z,86,17,23,46,73,65,0.08157894736842106
28005170028,2020-07-13T08:40:30Z,78,17,17,44,95,64,0.0951111111111111
27992546944,2020-07-12T09:06:30Z,78,16,22,40,40,63,0.08301526717557252
27974178081,2020-07-11T08:40:00Z,87,18,23,46,108,65,0.0625
27967910367,2020-07-10T08:36:30Z,84,16,22,46,96,64,0.07174887892376682
27934621735,2020-07-09T08:00:00Z,84,22,22,40,90,64,0.06580166821130677
27938460355,2020-07-08T08:54:30Z,86,18,22,46,107,65,0.07663896583564174
27921554661,2020-07-07T08:53:30Z,92,22,24,46,112,66,0.05930656934306569
27921554660,2020-07-06T08:44:00Z,74,16,18,40,80,65,0.08374875373878365
27891230939,2020-07-05T09:18:30Z,81,19,21,41,126,64,0.0521415270018622
27878138517,2020-07-04T08:30:00Z,86,19,21,46,120,63,0.0632506004803843
27840815176,2020-07-03T07:00:00Z,85,18,21,46,99,63,0.06274131274131274
27839895218,2020-07-02T08:00:00Z,76,17,18,41,54,63,0.13844870725604672
27839910609,2020-07-01T08:00:00Z,90,21,23,46,91,64,0.059154929577464786
27825603716,2020-06-30T07:50:00Z,91,22,23,46,129,65,0.07162041181736795
27813298710,2020-06-29T08:28:30Z,81,19,22,40,69,64,0.07759456838021339
27757104807,2020-06-28T08:00:00Z,88,22,23,43,100,66,0.06505771248688352
27788101843,2020-06-27T08:20:30Z,87,22,22,43,113,66,0.07971586424625099
27774725911,2020-06-26T07:59:00Z,89,22,21,46,91,66,0.06343612334801763
27758089461,2020-06-25T08:00:00Z,82,17,20,45,99,66,0.06908171861836562
27745957884,2020-06-24T08:45:00Z,89,22,22,45,145,67,0.08189331329827197
27733584973,2020-06-23T08:45:00Z,86,20,22,44,146,67,0.08226837060702875
27655877615,2020-06-22T07:30:00Z,82,17,22,43,104,66,0.061139896373056994
27706893380,2020-06-21T08:45:00Z,88,19,23,46,108,67,0.06921824104234528
27695228186,2020-06-20T09:00:00Z,86,19,21,46,111,66,0.07096774193548387
27655135173,2020-06-19T07:24:00Z,82,17,21,44,88,66,0.06535362578334826
27670689473,2020-06-18T08:24:30Z,77,19,19,39,123,65,0.09573459715639811
27670689472,2020-06-17T08:30:30Z,81,19,19,43,119,65,0.09266123054114159
27640572552,2020-06-16T06:10:00Z,79,17,20,42,66,65,0.07876370887337986
27589938760,2020-06-15T06:45:00Z,91,22,23,46,106,65,0.0662431941923775
27613813679,2020-06-14T06:45:00Z,81,15,23,43,66,65,0.06079664570230608
27589804624,2020-06-13T07:30:00Z,87,18,24,45,126,66,0.05907172995780591
27571446464,2020-06-11T08:57:30Z,83,18,20,45,79,66,0.07595870206489676
27558322130,2020-06-10T07:51:30Z,83,18,21,44,144,65,0.053763440860215055
27543454343,2020-06-09T08:10:00Z,87,21,23,43,108,64,0.0560081466395112
27488694875,2020-06-08T07:30:00Z,77,16,21,40,65,64,0.06243996157540826
27501095349,2020-06-06T08:18:30Z,90,21,23,46,81,65,0.0654988575780655
27488922888,2020-06-05T08:57:00Z,83,18,19,46,109,62,0.060320452403393024
27473474243,2020-06-04T07:36:00Z,87,17,24,46,107,64,0.05628517823639775
27457088922,2020-06-03T07:00:00Z,89,22,24,43,104,64,0.048
27443373470,2020-06-02T08:10:00Z,91,23,22,46,112,64,0.06501283147989735
27391966012,2020-06-01T07:15:00Z,77,17,20,40,78,63,0.09218203033838973
27416549971,2020-05-31T07:30:00Z,90,22,22,46,113,64,0.07021791767554479
27404775928,2020-05-30T08:58:00Z,76,19,24,33,63,65,0.05271317829457364
27391801939,2020-05-29T07:44:00Z,83,18,23,42,70,66,0.061248527679623084
27376265725,2020-05-28T08:30:00Z,86,21,19,46,88,65,0.06913996627318718
27363648752,2020-05-27T07:53:00Z,82,16,21,45,74,64,0.05907172995780591
27347163227,2020-05-26T07:50:00Z,84,19,23,42,109,64,0.058653846153846154
